0.98	514.50	294.00	110.25	7.00	2	0.00	15.55	21.33	0	
0.98	514.50	294.00	110.25	7.00	3	0.00	15.55	21.33	0	
0.98	514.50	294.00	110.25	7.00	4	0.00	15.55	21.33	0	
0.98	514.50	294.00	110.25	7.00	5	0.00	15.55	21.33	0	
0.90	563.50	318.50	122.50	7.00	2	0.00	20.84	28.28	0	
0.90	563.50	318.50	122.50	7.00	3	0.00	21.46	25.38	0	
0.90	563.50	318.50	122.50	7.00	4	0.00	20.71	25.16	0	
0.90	563.50	318.50	122.50	7.00	5	0.00	19.68	29.60	0	
0.86	588.00	294.00	147.00	7.00	2	0.00	19.50	27.30	0	
0.86	588.00	294.00	147.00	7.00	3	0.00	19.95	21.97	0	
0.86	588.00	294.00	147.00	7.00	4	0.00	19.34	23.49	0	
0.86	588.00	294.00	147.00	7.00	5	0.00	18.31	27.87	0	
0.82	612.50	318.50	147.00	7.00	2	0.00	17.05	23.77	0	
0.82	612.50	318.50	147.00	7.00	3	0.00	17.41	21.46	0	
0.82	612.50	318.50	147.00	7.00	4	0.00	16.95	21.16	0	
0.82	612.50	318.50	147.00	7.00	5	0.00	15.98	24.93	0	
0.79	637.00	343.00	147.00	7.00	2	0.00	28.52	37.73	0	
0.79	637.00	343.00	147.00	7.00	3	0.00	29.90	31.27	0	
0.79	637.00	343.00	147.00	7.00	4	0.00	29.63	30.93	0	
0.79	637.00	343.00	147.00	7.00	5	0.00	28.75	39.44	0	
0.76	661.50	416.50	122.50	7.00	2	0.00	24.77	29.79	0	
0.76	661.50	416.50	122.50	7.00	3	0.00	23.93	29.68	0	
0.76	661.50	416.50	122.50	7.00	4	0.00	24.77	29.79	0	
0.76	661.50	416.50	122.50	7.00	5	0.00	23.93	29.40	0	
0.74	686.00	245.00	220.50	3.50	2	0.00	6.07	10.90	0	
0.74	686.00	245.00	220.50	3.50	3	0.00	6.05	11.19	0	
0.74	686.00	245.00	220.50	3.50	4	0.00	6.01	10.94	0	
0.74	686.00	245.00	220.50	3.50	5	0.00	6.04	11.17	0	
0.71	710.50	269.50	220.50	3.50	2	0.00	6.37	11.27	0	
0.71	710.50	269.50	220.50	3.50	3	0.00	6.40	11.72	0	
0.71	710.50	269.50	220.50	3.50	4	0.00	6.37	11.29	0	
0.71	710.50	269.50	220.50	3.50	5	0.00	6.40	11.67	0	
0.69	735.00	294.00	220.50	3.50	2	0.00	6.85	11.74	0	
0.69	735.00	294.00	220.50	3.50	3	0.00	6.79	12.05	0	
0.69	735.00	294.00	220.50	3.50	4	0.00	6.77	11.73	0	
0.69	735.00	294.00	220.50	3.50	5	0.00	6.81	11.93	0	
0.66	759.50	318.50	220.50	3.50	2	0.00	7.18	12.40	0	
0.66	759.50	318.50	220.50	3.50	3	0.00	7.10	12.23	0	
0.66	759.50	318.50	220.50	3.50	4	0.00	7.10	12.40	0	
0.66	759.50	318.50	220.50	3.50	5	0.00	7.10	12.14	0	
0.64	784.00	343.00	220.50	3.50	2	0.00	10.85	16.78	0	
0.64	784.00	343.00	220.50	3.50	3	0.00	10.54	16.80	0	
0.64	784.00	343.00	220.50	3.50	4	0.00	10.77	16.75	0	
0.64	784.00	343.00	220.50	3.50	5	0.00	10.56	16.67	0	
0.62	808.50	367.50	220.50	3.50	2	0.00	8.60	12.07	0	
0.62	808.50	367.50	220.50	3.50	3	0.00	8.49	12.22	0	
0.62	808.50	367.50	220.50	3.50	4	0.00	8.45	12.08	0	
0.62	808.50	367.50	220.50	3.50	5	0.00	8.50	12.04	0	
0.98	514.50	294.00	110.25	7.00	2	0.10	24.58	26.47	1	
0.98	514.50	294.00	110.25	7.00	3	0.10	24.63	26.37	1	
0.98	514.50	294.00	110.25	7.00	4	0.10	24.63	26.44	1	
0.98	514.50	294.00	110.25	7.00	5	0.10	24.59	26.29	1	
0.90	563.50	318.50	122.50	7.00	2	0.10	29.03	32.92	1	
0.90	563.50	318.50	122.50	7.00	3	0.10	29.87	29.87	1	
0.90	563.50	318.50	122.50	7.00	4	0.10	29.14	29.58	1	
0.90	563.50	318.50	122.50	7.00	5	0.10	28.09	34.33	1	
0.86	588.00	294.00	147.00	7.00	2	0.10	26.28	30.89	1	
0.86	588.00	294.00	147.00	7.00	3	0.10	26.91	25.60	1	
0.86	588.00	294.00	147.00	7.00	4	0.10	26.37	27.03	1	
0.86	588.00	294.00	147.00	7.00	5	0.10	25.27	31.73	1	
0.82	612.50	318.50	147.00	7.00	2	0.10	23.53	27.31	1	
0.82	612.50	318.50	147.00	7.00	3	0.10	24.03	24.91	1	
